,,,,,US,3/24/2020 00:00,,,,,,
,,Illinois,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Chicago,Cook,Illinois,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Naperville,DuPage,Illinois,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Waukegan,Lake,Illinois,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Indiana,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Indianapolis,Marion,Indiana,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Michigan,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,Detroit City,Michigan,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Troy,Oakland,Michigan,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,Wayne,Michigan,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Ann Arbor,Washtenaw,Michigan,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Grand Rapids,Kent,Michigan,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Ohio,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Cleveland,Cuyahoga,Ohio,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Columbus,Franklin,Ohio,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Wisconsin,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Madison,Dane,Wisconsin,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Milwaukee,Milwaukee,Wisconsin,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
Waukesha,Waukesha,Wisconsin,East North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Iowa,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Iowa City,Johnson,Iowa,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Kansas,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Overland Park,Johnson,Kansas,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Minnesota,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Minneapolis,Hennepin,Minnesota,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Missouri,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Kansas City,Kansas City,Missouri,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Omaha,,Nebraska,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Fargo,,North Dakota,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
Sioux Falls,,South Dakota,West North Central,Midwest,US,3/24/2020 00:00,,,,,,
,,Connecticut,New England,Northeast,US,3/24/2020 00:00,,,,,,
Bridgeport,Fairfield,Connecticut,New England,Northeast,US,3/24/2020 00:00,,,,,,
Hartford,Hartford,Connecticut,New England,Northeast,US,3/24/2020 00:00,,,,,,
New Haven,New Haven,Connecticut,New England,Northeast,US,3/24/2020 00:00,,,,,,
,,Maine,New England,Northeast,US,3/24/2020 00:00,,,,,,
Portland,Cumberland,Maine,New England,Northeast,US,3/24/2020 00:00,,,,,,
Lewiston,Androscoggin,Maine,New England,Northeast,US,3/24/2020 00:00,,,,,,
,,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Lowell,Middlesex,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Boston,Suffolk,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Quincy,Norfolk,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Lynn,Essex,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
,Unknown,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Worcester,Worcester,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Pittsfield,Berkshire,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
Brockton,Plymouth,Massachusetts,New England,Northeast,US,3/24/2020 00:00,,,,,,
,,New Hampshire,New England,Northeast,US,3/24/2020 00:00,,,,,,
Derry,Rockingham,New Hampshire,New England,Northeast,US,3/24/2020 00:00,,,,,,
Providence,,Rhode Island,New England,Northeast,US,3/24/2020 00:00,,,,,,
Burlington,,Vermont,New England,Northeast,US,3/24/2020 00:00,,,,,,
